Unnamed: 0,subject,attention,solutions,score,score_normalized
0,1,divided,1,2.0,0.2222222222222222
1,2,divided,1,3.0,0.3333333333333333
2,3,divided,1,3.0,0.3333333333333333
3,4,divided,1,5.0,0.5555555555555556
4,5,divided,1,4.0,0.4444444444444444
5,6,divided,1,5.0,0.5555555555555556
6,7,divided,1,5.0,0.5555555555555556
7,8,divided,1,5.0,0.5555555555555556
8,9,divided,1,2.0,0.2222222222222222
9,10,divided,1,6.0,0.6666666666666666
10,11,focused,1,6.0,0.6666666666666666
11,12,focused,1,8.0,0.8888888888888888
12,13,focused,1,6.0,0.6666666666666666
13,14,focused,1,8.0,0.8888888888888888
14,15,focused,1,8.0,0.8888888888888888
15,16,focused,1,6.0,0.6666666666666666
16,17,focused,1,7.0,0.7777777777777778
17,18,focused,1,7.0,0.7777777777777778
18,19,focused,1,5.0,0.5555555555555556
19,20,focused,1,6.0,0.6666666666666666
20,1,divided,2,4.0,0.4444444444444444
21,2,divided,2,4.0,0.4444444444444444
22,3,divided,2,5.0,0.5555555555555556
23,4,divided,2,7.0,0.7777777777777778
24,5,divided,2,5.0,0.5555555555555556
25,6,divided,2,5.0,0.5555555555555556
26,7,divided,2,4.5,0.5
27,8,divided,2,7.0,0.7777777777777778
28,9,divided,2,3.0,0.3333333333333333
29,10,divided,2,5.0,0.5555555555555556
30,11,focused,2,5.0,0.5555555555555556
31,12,focused,2,9.0,1.0
32,13,focused,2,5.0,0.5555555555555556
33,14,focused,2,8.0,0.8888888888888888
34,15,focused,2,8.0,0.8888888888888888
35,16,focused,2,8.0,0.8888888888888888
36,17,focused,2,7.0,0.7777777777777778
37,18,focused,2,8.0,0.8888888888888888
38,19,focused,2,6.0,0.6666666666666666
39,20,focused,2,6.0,0.6666666666666666
40,1,divided,3,7.0,0.7777777777777778
41,2,divided,3,5.0,0.5555555555555556
42,3,divided,3,6.0,0.6666666666666666
43,4,divided,3,5.0,0.5555555555555556
44,5,divided,3,8.0,0.8888888888888888
45,6,divided,3,6.0,0.6666666666666666
46,7,divided,3,6.0,0.6666666666666666
47,8,divided,3,8.0,0.8888888888888888
48,9,divided,3,7.0,0.7777777777777778
49,10,divided,3,6.0,0.6666666666666666
50,11,focused,3,6.0,0.6666666666666666
51,12,focused,3,8.0,0.8888888888888888
52,13,focused,3,9.0,1.0
53,14,focused,3,7.0,0.7777777777777778
54,15,focused,3,7.0,0.7777777777777778
55,16,focused,3,7.0,0.7777777777777778
56,17,focused,3,6.0,0.6666666666666666
57,18,focused,3,6.0,0.6666666666666666
58,19,focused,3,6.0,0.6666666666666666
59,20,focused,3,5.0,0.5555555555555556
